x,y
6600.0,904183.2132203531
6880.0,805530.4969227405
7000.0,788664.4375550678
7200.0,696389.817969626
7360.0,682800.7222464269
7400.0,657774.3827248875
7520.0,652244.0187186991
7760.0,601193.5813364701
7880.0,568304.9229169876
8080.0,548723.3079027772
8160.0,533352.2837869003
8280.0,524860.9493154872
8480.0,486837.45198507264
8640.0,479676.3377127388
8680.0,471921.20035747014
8800.0,469191.81079551775
8880.0,469024.26632129285
8960.0,455617.15996191313
9040.0,444685.65828102967
9120.0,432395.2352588306
9160.0,428835.8858101363
9280.0,424033.0543519452
9320.0,423454.5243225451
9360.0,419216.23444713873
9440.0,414438.2670768166
9560.0,407384.8661508307
9720.0,389845.9997844543
9760.0,389549.66485708376
9840.0,385317.23014267895
9880.0,383704.7587433979
9960.0,381849.3167762076
10040.0,380242.3600011166
10080.0,378461.1880383915
10120.0,378092.0475380418
10160.0,374297.5764552724
10200.0,371364.4720266598
10320.0,358498.0331610755
10360.0,357296.970528772
10440.0,354747.6675682572
10560.0,352211.18177360913
10600.0,350968.2966728581
10640.0,350353.2426409786
10680.0,348528.0337645169
10720.0,347378.8367523125
10760.0,344913.69259293674
10920.0,339919.5913222047
10960.0,333040.24559378513
11040.0,332880.46256137546
11080.0,331568.2110578915
11120.0,330118.7803005319
11160.0,329910.46715833107
11280.0,326701.9085256174
11360.0,322824.8239883024
11480.0,316803.66087451956
11560.0,316655.9433524831
11640.0,314385.7202421041
11680.0,314354.32465567597
11800.0,311216.52382401796
11960.0,305366.6891238131
12040.0,304517.0278784994
12120.0,303618.9825565195
12240.0,301432.458621939
12480.0,296222.8060856249
